date,code,amount,close,date_stamp,down_count,high,low,open,up_count,vol,volume
2012-05-09,000030,39928307712.0,1595.98,1336492800.0,0,1615.71,1595.88,1613.42,0,323080.0,323080.0
2012-05-10,000030,31416877056.0,1598.52,1336579200.0,0,1605.44,1593.24,1595.21,0,276942.0,276942.0
2012-05-11,000030,28331888640.0,1583.98,1336665600.0,0,1603.88,1583.69,1597.09,0,237322.0,237322.0
2012-05-14,000030,33351061504.0,1568.91,1336924800.0,0,1596.56,1567.0,1594.55,0,290643.0,290643.0
2012-05-15,000030,27166466048.0,1569.28,1337011200.0,0,1569.7,1548.26,1554.15,0,241256.0,241256.0
2012-05-16,000030,27143307264.0,1546.63,1337097600.0,0,1567.35,1546.3,1565.0,0,229059.0,229059.0
2012-05-17,000030,27560216576.0,1568.92,1337184000.0,0,1572.46,1541.28,1547.5,0,239294.0,239294.0
2012-05-18,000030,25417598976.0,1546.74,1337270400.0,0,1566.06,1542.64,1558.22,0,232351.0,232351.0
2012-05-21,000030,25296394240.0,1557.6,1337529600.0,0,1568.72,1540.3,1546.29,0,208417.0,208417.0
2012-05-22,000030,25433231360.0,1583.25,1337616000.0,0,1583.47,1564.43,1564.43,0,216540.0,216540.0
2012-05-23,000030,29442091008.0,1575.01,1337702400.0,0,1588.65,1561.74,1579.68,0,242024.0,242024.0
2012-05-24,000030,26118098944.0,1562.48,1337788800.0,0,1583.47,1557.75,1570.73,0,233623.0,233623.0
2012-05-25,000030,21976250368.0,1550.99,1337875200.0,0,1569.48,1546.6,1563.05,0,212232.0,212232.0
2012-05-28,000030,29292752896.0,1576.99,1338134400.0,0,1577.14,1529.23,1545.36,0,283313.0,283313.0
2012-05-29,000030,41978613760.0,1602.43,1338220800.0,0,1605.21,1576.12,1577.38,0,391865.0,391865.0
2012-05-30,000030,30427656192.0,1597.97,1338307200.0,0,1605.41,1594.25,1599.11,0,270609.0,270609.0
2012-05-31,000030,25568149504.0,1597.25,1338393600.0,0,1607.86,1584.07,1586.41,0,229443.0,229443.0
2012-06-01,000030,29993320448.0,1600.17,1338480000.0,0,1613.07,1592.85,1599.47,0,239678.0,239678.0
2012-06-04,000030,32934754304.0,1556.67,1338739200.0,0,1588.7,1556.45,1579.98,0,282627.0,282627.0
2012-06-05,000030,23206569984.0,1556.58,1338825600.0,0,1566.38,1548.54,1559.76,0,202773.0,202773.0
2012-06-06,000030,23556812800.0,1557.48,1338912000.0,0,1567.0,1549.27,1560.4,0,189588.0,189588.0
2012-06-07,000030,23366729728.0,1547.72,1338998400.0,0,1575.36,1543.66,1573.04,0,184897.0,184897.0
2012-06-08,000030,25865797632.0,1537.08,1339084800.0,0,1558.52,1535.27,1558.16,0,229721.0,229721.0
2012-06-11,000030,22348417024.0,1558.57,1339344000.0,0,1563.29,1537.07,1541.23,0,196756.0,196756.0
2012-06-12,000030,20467877888.0,1546.17,1339430400.0,0,1555.37,1539.49,1548.86,0,181523.0,181523.0
2012-06-13,000030,25409603584.0,1571.29,1339516800.0,0,1571.75,1545.31,1550.68,0,231969.0,231969.0
2012-06-14,000030,22672384000.0,1562.82,1339603200.0,0,1577.37,1561.3,1566.95,0,208590.0,208590.0
